company_name,linkedin_job_id,job_title,location,posted_on,posted_date,seniority_level,employment_type
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-07-31,unknown,null,null
Microsoft,view,Applied Sciences IC2,"Bengaluru, Karnataka, India",2024-07-30,unknown,null,null
Microsoft,view,Software Engineer,"Bengaluru, Karnataka, India",2024-07-30,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Karnataka, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineer,"Bengaluru, Karnataka, India",2024-08-01,unknown,null,null
Microsoft,view,Software Engineer I,"Bengaluru, Karnataka, India",2024-08-01,unknown,null,null
Microsoft,view,SOFTWARE ENGINEER,"Bengaluru, Karnataka, India",2024-08-07,unknown,null,null
Microsoft,view,Customer Operation Manager,"Bengaluru, Karnataka, India",2024-07-29,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Maharashtra, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Telangana, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-07-31,unknown,null,null
Microsoft,view,Software Engineer,"Bengaluru, Karnataka, India",2024-07-23,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Delhi, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Haryana, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Andhra Pradesh, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Uttar Pradesh, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineer,"Bengaluru, Karnataka, India",2024-08-04,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Goa, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-07-31,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"West Bengal, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineer,"Noida, Uttar Pradesh, India",2024-07-31,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-07-31,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-07-31,unknown,null,null
Microsoft,view,Customer Success Account Manager,Mumbai Metropolitan Region,2024-07-25,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-08-07,unknown,null,null
Microsoft,view,Technical Support Engineering,"Bengaluru, Karnataka, India",2024-07-20,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Madhya Pradesh, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineer,"Bengaluru, Karnataka, India",2024-08-02,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-08-01,unknown,null,null
Microsoft,view,Technical Support Engineering,"Bengaluru, Karnataka, India",2024-07-21,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-07-31,unknown,null,null
Microsoft,view,Senior HR Business Partner,"Hyderabad, Telangana, India",2024-07-26,unknown,null,null
Microsoft,view,Associate Researcher,"Bengaluru, Karnataka, India",2024-08-05,unknown,null,null
Microsoft,view,Designer II,"Bengaluru, Karnataka, India",2024-07-31,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Lakshadweep, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Tamil Nadu, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-08-07,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-07-31,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Uttarakhand, India",2024-07-22,unknown,null,null
Microsoft,view,Data Scientist,"Bengaluru, Karnataka, India",2024-08-03,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-07-31,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Mizoram, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Nagaland, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Himachal Pradesh, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Meghalaya, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-07-31,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Odisha, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-07-31,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Chandigarh, Chandigarh, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-07-31,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Gujarat, India",2024-07-22,unknown,null,null
Microsoft,view,Designer 2,"Hyderabad, Telangana, India",2024-08-02,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Bihar, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Arunachal Pradesh, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Jharkhand, India",2024-07-22,unknown,null,null
Microsoft,view,Digital Specialist â€“ Support Solution (India),"Gurgaon, Haryana, India",2024-08-01,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Manipur, India",2024-07-22,unknown,null,null
Microsoft,view,Software Engineer,"Hyderabad, Telangana, India",2024-07-31,unknown,null,null
Microsoft,view,Software Engineering: Internship Opportunity,"Andaman and Nicobar Islands, India",2024-07-22,unknown,null,null
Microsoft,view,Technical Support Engineering,"Bengaluru, Karnataka, India",2024-07-24,unknown,null,null
Google,view,Digital Marketing Strategist,"Gurugram, Haryana, India",2024-08-03,unknown,null,null
Google,view,"Software Engineer, University Graduate, 2025","Bengaluru, Karnataka, India",2024-07-31,unknown,null,null
Google,view,"Software Engineer, University Graduate, 2025",Mumbai Metropolitan Region,2024-07-31,unknown,null,null
Google,view,Technical Recruiter,"Bengaluru, Karnataka, India",2024-07-24,unknown,null,null
Google,view,Marketing Category Manager,"Gurgaon, Haryana, India",2024-07-17,unknown,null,null
Google,view,"Software Engineer, University Graduate, 2025","Gurgaon, Haryana, India",2024-07-31,unknown,null,null
Google,view,"Software Engineer, University Graduate, 2025","Hyderabad, Telangana, India",2024-07-31,unknown,null,null
Google,view,"Software Engineer, University Graduate, 2025","Pune, Maharashtra, India",2024-07-31,unknown,null,null
Google,view,Marketing Category Manager,"Bengaluru, Karnataka, India",2024-08-02,unknown,null,null
Google,view,"Product Specialist, Product and Sales Activation","Gurugram, Haryana, India",2024-07-18,unknown,null,null
Google,view,Data Analyst,"Hyderabad, Telangana, India",2024-07-19,unknown,null,null
Google,view,Digital Marketing Strategist,"Hyderabad, Telangana, India",2024-08-03,unknown,null,null
Google,view,Executive Recruiter,"Gurugram, Haryana, India",2024-08-05,unknown,null,null
Google,view,"Software Engineer, Core","Hyderabad, Telangana, India",2024-08-03,unknown,null,null
Google,view,"Accountant, Platforms and Ecosystems","Hyderabad, Telangana, India",2024-07-19,unknown,null,null
Google,view,"Account Manager, Ad Sales","Gurgaon, Haryana, India",2024-08-04,unknown,null,null
Google,view,Executive Recruiter,"Bengaluru, Karnataka, India",2024-08-05,unknown,null,null
Google,view,"Marketing Analytics Manager, Ads Marketing","Gurugram, Haryana, India",2024-08-06,unknown,null,null
Google,view,"Administrative Business Partner, Search Platforms","Bengaluru, Karnataka, India",2024-08-05,unknown,null,null
Google,view,"Growth Manager, AppDev (English, Hindi)","Gurugram, Haryana, India",2024-07-26,unknown,null,null
Google,view,"Software Engineer, Google Ads","Bengaluru, Karnataka, India",2024-07-31,unknown,null,null
Google,view,Executive Recruiter,"Hyderabad, Telangana, India",2024-08-05,unknown,null,null
Google,view,"Account Strategist, Mid-Market Sales, Google Customer Solutions","Gurugram, Haryana, India",2024-08-01,unknown,null,null
Google,view,"Account Strategist, Mid-Market Sales, Google Customer Solutions",Mumbai Metropolitan Region,2024-08-01,unknown,null,null
Google,view,"Embedded Software Engineer, University Graduate, 2025","Bengaluru, Karnataka, India",2024-08-02,unknown,null,null
Google,view,"Media lead, Marketing","Gurgaon, Haryana, India",2024-08-05,unknown,null,null
Google,view,"Software Engineer, Payments","Bengaluru, Karnataka, India",2024-07-31,unknown,null,null
Google,view,"Software Engineer, YouTube","Bengaluru, Karnataka, India",2024-07-19,unknown,null,null
Google,view,"Software Engineer, Payments","Hyderabad, Telangana, India",2024-07-20,unknown,null,null
Google,view,"Product Support Manager, Google Play","Gurgaon, Haryana, India",2024-07-22,unknown,null,null
Google,view,"Program Manager, Strategy and Operations","Hyderabad, Telangana, India",2024-07-24,unknown,null,null
Google,view,"Customer Onboarding Strategist, Acquisitions, Google Customer Solutions","Bengaluru, Karnataka, India",2024-07-19,unknown,null,null
Google,view,"Product Manager, Search","Bengaluru, Karnataka, India",2024-08-02,unknown,null,null
Google,view,"Product Manager, Member Retention and Experience","Bengaluru, Karnataka, India",2024-07-18,unknown,null,null
Google,view,"Software Engineer, Front End, Google Cloud","Bengaluru, Karnataka, India",2024-07-30,unknown,null,null
Google,view,"Business Intelligence Analyst, Finance","Bengaluru, Karnataka, India",2024-08-01,unknown,null,null
Google,view,"Strategy and Operations Lead, Go-To-Market","Gurgaon, Haryana, India",2024-08-02,unknown,null,null
Google,view,"Finance Lead, Payments, Finance","Bengaluru, Karnataka, India",2024-08-03,unknown,null,null
Google,view,"Product Manager, Google Home/Nest Subscriptions","Bengaluru, Karnataka, India",2024-07-30,unknown,null,null
Google,view,"Program Manager, Vendor Quality Operations","Bengaluru, Karnataka, India",2024-07-18,unknown,null,null
Google,view,"Research Scientist, Google Assistant","Bengaluru, Karnataka, India",2024-07-18,unknown,null,null
Google,view,"Workday Analyst, People Operations","Bengaluru, Karnataka, India",2024-08-01,unknown,null,null
Google,view,"Administrative Business Partner, International Controllership","Hyderabad, Telangana, India",2024-07-30,unknown,null,null
Google,view,"Account Strategist, Mid-Market Sales, Google Customer Solutions","Bengaluru, Karnataka, India",2024-08-01,unknown,null,null
Google,view,"Product Manager, Ads Incentives","Bengaluru, Karnataka, India",2024-08-01,unknown,null,null
Google,view,"Silicon Engineer, University Graduate, 2025","Bengaluru, Karnataka, India",2024-07-29,unknown,null,null
Google,view,Content Adversarial Red Team Analyst,"Bengaluru, Karnataka, India",2024-07-24,unknown,null,null
Google,view,"Product Manager, Google Cloud Business Platform","Bengaluru, Karnataka, India",2024-07-30,unknown,null,null
Google,view,"Product Manager, Discover Product Experience","Bengaluru, Karnataka, India",2024-08-03,unknown,null,null
Google,view,Operations Enablement Analyst,"Hyderabad, Telangana, India",2024-07-30,unknown,null,null
Google,view,Service Delivery Manager,"Gurugram, Haryana, India",2024-08-07,unknown,null,null
Google,view,"Product Manager, Google Cloud Business Platform","Bengaluru, Karnataka, India",2024-07-27,unknown,null,null
Google,view,"Business Intelligence Analyst, Strategy Operations, Google Play","Bengaluru, Karnataka, India",2024-07-30,unknown,null,null
Google,view,"Software Engineer, Geo","Bengaluru, Karnataka, India",2024-07-23,unknown,null,null
Google,view,"Account Manager, SBS Engage, Google Customer Solutions","Gurugram, Haryana, India",2024-07-19,unknown,null,null
Google,view,Global Investigator,"Gurugram, Haryana, India",2024-07-17,unknown,null,null
Google,view,Senior Product Manager,"Bengaluru, Karnataka, India",2024-08-02,unknown,null,null
Google,view,Workday Project Manager,"Bengaluru, Karnataka, India",2024-07-27,unknown,null,null
Google,view,"Product Support Consultant, gTech","Hyderabad, Telangana, India",2024-07-22,unknown,null,null
Google,view,"Business Finance Analyst, Finance, Google Customer Solutions","Bengaluru, Karnataka, India",2024-08-05,unknown,null,null
Google,view,"Media lead, Marketing","Gurgaon, Haryana, India",2024-08-05,unknown,null,null
Google,view,"Software Engineer, Payments","Bengaluru, Karnataka, India",2024-07-31,unknown,null,null
Google,view,"Software Engineer, YouTube","Bengaluru, Karnataka, India",2024-07-19,unknown,null,null
Google,view,"Software Engineer, Payments","Hyderabad, Telangana, India",2024-07-20,unknown,null,null
Google,view,"Product Support Manager, Google Play","Gurgaon, Haryana, India",2024-07-22,unknown,null,null
Google,view,"Program Manager, Strategy and Operations","Hyderabad, Telangana, India",2024-07-24,unknown,null,null
Google,view,"Customer Onboarding Strategist, Acquisitions, Google Customer Solutions","Bengaluru, Karnataka, India",2024-07-19,unknown,null,null
Google,view,"Product Manager, Search","Bengaluru, Karnataka, India",2024-08-02,unknown,null,null
Google,view,"Product Manager, Member Retention and Experience","Bengaluru, Karnataka, India",2024-07-18,unknown,null,null
Google,view,"Software Engineer, Front End, Google Cloud","Bengaluru, Karnataka, India",2024-07-30,unknown,null,null
Google,view,Service Delivery Manager,"Gurugram, Haryana, India",2024-08-07,unknown,null,null
Google,view,"Product Manager, Google Cloud Business Platform","Bengaluru, Karnataka, India",2024-07-27,unknown,null,null
Google,view,"Business Intelligence Analyst, Strategy Operations, Google Play","Bengaluru, Karnataka, India",2024-07-30,unknown,null,null
Google,view,"Software Engineer, Geo","Bengaluru, Karnataka, India",2024-07-23,unknown,null,null
Google,view,"Account Manager, SBS Engage, Google Customer Solutions","Gurugram, Haryana, India",2024-07-19,unknown,null,null
Google,view,Global Investigator,"Gurugram, Haryana, India",2024-07-17,unknown,null,null
Google,view,Senior Product Manager,"Bengaluru, Karnataka, India",2024-08-02,unknown,null,null
Google,view,Workday Project Manager,"Bengaluru, Karnataka, India",2024-07-27,unknown,null,null
Google,view,"Product Support Consultant, gTech","Hyderabad, Telangana, India",2024-07-22,unknown,null,null
Google,view,"Business Finance Analyst, Finance, Google Customer Solutions","Bengaluru, Karnataka, India",2024-08-05,unknown,null,null
